#OHare:2021utq
#mass, value
97.71241535346502, 3.2648855958372525e-41
103.53218432956626, 3.3492060618227413e-41
109.69857978923841, 3.4367950446700114e-41
116.2322468679853, 3.529488819172103e-41
123.15506032928262, 3.628317042089013e-41
130.4901978014403, 3.7326034076441595e-41
138.26221737646563, 3.8432421792003713e-41
146.49713983072863, 3.9607600208019203e-41
155.2225357427048, 4.0867961978119905e-41
164.46761779946644, 4.221479587112991e-41
174.26333860096508, 4.3653480644337486e-41
184.64249428955443, 4.518257539040258e-41
195.63983435170647, 4.681574543349183e-41
207.29217795953718, 4.85610476751636e-41
219.6385372416547, 5.041863573545362e-41
232.72024789604097, 5.240583448670775e-41
246.5811075822604, 5.451815785161093e-41
261.2675225563329, 5.67679358593994e-41
276.8286630392067, 5.916470017298932e-41
293.3166278390045, 6.171534445570526e-41
310.7866187782014, 6.443948349406825e-41
329.29712550971516, 6.733632929682312e-41
348.9101213406774, 7.041152643705852e-41
369.6912707195028, 7.367355458135443e-41
391.71014908092604, 7.714841378575925e-41
415.04047578504765, 8.085103050766131e-41
439.7603609302721, 8.476750803892981e-41
465.9525668664682, 8.891744956095177e-41
493.7047852839004, 9.334848031527332e-41
523.1099308056264, 9.804228138992023e-41
554.2664520663108, 1.030083569907062e-40
587.2786613189483, 1.0830368561904305e-40
622.2570836730231, 1.1391042364591876e-40
659.3188271333548, 1.1984124481521268e-40
698.5879746785249, 1.2616155209621374e-40
740.1959996915645, 1.3284906262461158e-40
784.2822061337682, 1.399376148353523e-40
830.9941949353396, 1.4747509518330233e-40
880.4883581643464, 1.5542155011623885e-40
932.9304026284686, 1.6391048233272168e-40
988.4959046625586, 1.7283264028841135e-40
1047.3708979594508, 1.823748910119016e-40
1109.752496412072, 1.924133739269676e-40
1175.849554052158, 2.0311486603521296e-40
1245.883364295008, 2.14416014442052e-40
1320.0884008314194, 2.2640703308242102e-40
1398.7131026472387, 2.3913186070972954e-40
1482.02070579886, 2.525773204939609e-40
1570.2901247293776, 2.6687991089462304e-40
1663.8168860761307, 2.8199198143212637e-40
1762.914118095948, 2.9803436588219854e-40
1867.9135990207847, 3.150210474739365e-40
1979.1668678535573, 3.330364037378687e-40
2097.046401323235, 3.521253928873295e-40
2221.946860939524, 3.723325287964036e-40
2354.28641432242, 3.937671338565811e-40
2494.5081352303164, 4.164628851951661e-40
2643.0814869741084, 4.405067826567119e-40
2800.503894183631, 4.66002570604384e-40
2967.3024081888725, 4.930247089236269e-40
3144.0354715915, 5.2160128986628315e-40
3331.294787934677, 5.5197239019154365e-40
3529.70730273065, 5.840707955823753e-40
3739.9373024788015, 6.181760666801999e-40
3962.6886387014783, 6.541963130874698e-40
4198.707084443914, 6.924942596016478e-40
4448.782831127585, 7.329294387582617e-40
4713.753134116729, 7.759154683142639e-40
4994.50511585514, 8.213475503779413e-40
5291.978735958447, 8.695562762695981e-40
5607.1699382054585, 9.206132667843873e-40
5941.133984965039, 9.747094685873704e-40
6294.988990221887, 1.0320927327270725e-39
6669.9196630301285, 1.0927675080086426e-39
7067.181273927491, 1.1572028916736181e-39
7488.10385759003, 1.2252495160009067e-39
7934.096665797492, 1.2976259457078059e-39
