#OHare:2021utq
#mass, value
14.481182276745345, 1.8172617065589355e-43
15.343684089300131, 1.5621791112023056e-43
16.25755666443795, 1.3841880666679588e-43
17.225859653987875, 1.2591817611653716e-43
18.251834943190442, 1.171234818382187e-43
19.33891750455232, 1.1105133441475417e-43
20.49074689815848, 1.0694109465482428e-43
21.711179456945054, 1.042769540320491e-43
23.00430119772919, 1.0277565326731171e-43
24.37444150122222, 1.0214449154897442e-43
25.826187606826775, 1.0222300117759402e-43
27.36439997074672, 1.029205361833039e-43
28.994228538828782, 1.0409816973483663e-43
30.72112998861759, 1.0572813359051386e-43
32.5508859983506, 1.0772975817176491e-43
34.489622604057594, 1.1008325672571651e-43
36.54383070957258, 1.1269975674804806e-43
38.72038781812557, 1.1562635134486053e-43
41.026581058271944, 1.1877120443544455e-43
43.470131581250264, 1.2211316719739073e-43
46.059220411451086, 1.2561897611523389e-43
48.80251583654434, 1.2928487605231824e-43
51.70920242896761, 1.3303840114502208e-43
54.78901179593945, 1.3682574672239437e-43
58.05225516094902, 1.4062244381496268e-43
61.50985788580504, 1.4450803727790034e-43
65.17339604882427, 1.483695368731506e-43
69.0551352016233, 1.5219943745676316e-43
73.168071434272, 1.5608250431836945e-43
77.52597488629465, 1.6001415679797722e-43
82.1434358491943, 1.6397524068194387e-43
87.03591361485165, 1.6806407702236787e-43
92.21978823334331, 1.7227668449060497e-43
97.71241535346502, 1.7661829717716868e-43
103.53218432956626, 1.8116025384339546e-43
109.69857978923841, 1.8596030589164073e-43
116.2322468679853, 1.9099053008150686e-43
123.15506032928262, 1.962840349788905e-43
130.4901978014403, 2.0196271568311592e-43
138.26221737646563, 2.0798001985391063e-43
146.49713983072863, 2.143869931873935e-43
155.2225357427048, 2.212064993881129e-43
164.46761779946644, 2.284671280572897e-43
174.26333860096508, 2.362074124160759e-43
184.64249428955443, 2.445261081537853e-43
195.63983435170647, 2.533637442128742e-43
207.29217795953718, 2.628313921960757e-43
219.6385372416547, 2.7289605378144148e-43
232.72024789604097, 2.836502199280942e-43
246.5811075822604, 2.951278110373403e-43
261.2675225563329, 3.0735175466216583e-43
276.8286630392067, 3.2036910734283538e-43
293.3166278390045, 3.3420844619856954e-43
310.7866187782014, 3.4894581142239283e-43
329.29712550971516, 3.645944625621763e-43
348.9101213406774, 3.81188096081654e-43
369.6912707195028, 3.989623297477839e-43
391.71014908092604, 4.1784307197407684e-43
415.04047578504765, 4.378327294226002e-43
439.7603609302721, 4.589899081170599e-43
465.9525668664682, 4.8161706126712776e-43
493.7047852839004, 5.055909679657689e-43
523.1099308056264, 5.308994151886232e-43
554.2664520663108, 5.579675159283752e-43
587.2786613189483, 5.8661206482322736e-43
622.2570836730231, 6.169094699903865e-43
659.3188271333548, 6.492199328564426e-43
698.5879746785249, 6.833532847924559e-43
