#OHare:2021utq
#mass, value
0.32435608072358113, 4.763236634740169e-44
0.3319266204733189, 4.906839840288695e-44
0.3396738582272208, 5.051521081756476e-44
0.34760191815419783, 5.196450171860453e-44
0.3557150206821386, 5.340478122589866e-44
0.36401748474461404, 5.483266282752426e-44
0.37251373008002114, 5.624009573331701e-44
0.3812082795843889, 5.760173941601934e-44
0.3901057617190992, 5.8888314498359e-44
0.39921091297480515, 6.010036281373375e-44
0.4085285803928562, 6.122223551150102e-44
0.4180637241455758, 6.221860815053295e-44
0.4278214201767616, 6.311862231414036e-44
0.4378068629038169, 6.389225413329496e-44
0.44802536798294906, 6.452909002670001e-44
0.4584823751389096, 6.505803467010833e-44
0.4691834510607798, 6.549974835844407e-44
0.48013429236534527, 6.577963065385701e-44
0.4913407286296363, 6.591113544237429e-44
0.5028087254942479, 6.59159220384698e-44
0.5145443878390927, 6.578212078554839e-44
0.5265539630332757, 6.545078161346774e-44
0.5388438442608223, 6.490594625661989e-44
0.5514205739240301, 6.415635527733391e-44
0.564290847126254, 6.313118704084709e-44
0.5774615152359821, 6.179018919451414e-44
0.5909395895340971, 6.005816195427232e-44
0.6047322449462648, 5.795087002542093e-44
0.6188468238624386, 5.549693243879893e-44
0.6332908400455115, 5.276019844066451e-44
0.6480719826311969, 4.98601816970208e-44
0.6631981202212672, 4.685531526399496e-44
0.6786773050723297, 4.378911515119073e-44
0.6945177773823696, 4.069901147302855e-44
0.7107279696773418, 3.7610052491455126e-44
0.7273165113001457, 3.4555472974143103e-44
0.744292233004376, 3.1560224697468344e-44
0.7616641716552892, 2.865464640844588e-44
0.7794415750404949, 2.585813473276233e-44
0.7976339067929277, 2.31786637271027e-44
0.8162508514287229, 2.0639871858199363e-44
0.8353023195026776, 1.826607634199321e-44
0.854798452884041, 1.6070665404735436e-44
0.8747496301554417, 1.4073571483590835e-44
0.8951664721378302, 1.227321559285925e-44
0.9160598475443708, 1.0694113832772065e-44
0.9374408787662996, 9.318109599902754e-45
0.9593209477938244, 8.144059824774333e-45
0.9817117022752193, 7.147775149724466e-45
1.004625061717341, 6.302036977683307e-45
1.0280732238308652, 5.582313567439401e-45
1.052068671023623, 4.971308620326085e-45
1.0766241770454934, 4.449353208076977e-45
1.1017528137883867, 3.998255836673068e-45
1.1274679582449467, 3.6077628902817684e-45
1.1537832996296609, 3.269585815638272e-45
1.1807128466661896, 2.9743462089825675e-45
1.2082709350447765, 2.7163841228060236e-45
1.236472235053715, 2.4900770839712257e-45
1.2653317593889428, 2.2909818832618873e-45
1.2948648711459043, 2.1178924005846578e-45
1.3250872919979533, 1.9642960180803013e-45
1.3560151105656333, 1.8304263877988838e-45
1.3876647909813085, 1.7134124228423195e-45
1.4200531816536826, 1.6106472900874926e-45
1.4531975242368962, 1.5205892100969343e-45
1.4871154628089538, 1.4433554690615337e-45
1.5218250532643862, 1.3756805108867943e-45
1.5573447729261343, 1.3179236135555907e-45
1.5936935303817745, 1.2675533872486038e-45
