,time,NU_E,NU_E_BAR,NU_X+NU_X_BAR,Total
2177,1.403935404654,0.6371675160324103,0.8096307586650193,3.7997882609973956,5.246586535694825
2178,1.404940456788,0.636254248840389,0.8097276727271256,3.7974151459434276,5.2433970675109425
2179,1.405951812594,0.6366094063168731,0.808089555267108,3.79438998482325,5.239088946407231
2180,1.406953852287,0.636614746613916,0.8072875318724893,3.793112801930012,5.237015080416417
2181,1.407960514725,0.6356076427710474,0.8076490198228059,3.791356203591005,5.234612866184857
2182,1.408962237446,0.6343771231690442,0.8096042802310192,3.7912603958038855,5.235241799203949
2183,1.409971209955,0.6315610166424187,0.8142527309292846,3.791708209419997,5.2375219569917
2184,1.410974948458,0.6307021226246583,0.8142875763733152,3.7893377790199296,5.234327478017903
2185,1.41198383337,0.6308559093759462,0.8134049432088919,3.787604561602669,5.2318654141875065
2186,1.412986655911,0.630371156827143,0.8134760728283572,3.785706568982071,5.229553798637572
2187,1.413992144863,0.6295573596399306,0.8149041539056938,3.784487250514381,5.228948764060005
2188,1.414995728365,0.6291438407318064,0.814181502903167,3.781010896905271,5.224336240540245
2189,1.415971946863,0.6317308050477789,0.8085279730998478,3.777731928533552,5.21799070668118
2190,1.416994043275,0.631225321608751,0.8092479115310742,3.777005273781529,5.2174785069213545
2191,1.417854565022,0.6305784384226574,0.8094462366284843,3.7766142256881263,5.216638900739268
2192,1.418766675779,0.6301418811611634,0.8099200499766128,3.775080409448309,5.215142340586086
2193,1.419772266856,0.6294259487342161,0.8097569460644033,3.7723253107918877,5.211508205590507
2194,1.420774409829,0.633839876432684,0.7998264265116385,3.7661683123168608,5.199834615261183
2195,1.421777228919,0.6376938880387091,0.7928989833674398,3.763368297654856,5.193961169061005
2196,1.422782951666,0.636689786914032,0.7947921003765538,3.7637104861133435,5.19519237340393
2197,1.423725348033,0.6353277933892587,0.796811113276305,3.7640335413492316,5.196172448014796
2198,1.424731467144,0.6322270046475861,0.8020550380916273,3.763943511460111,5.1982255541993245
2199,1.425685514009,0.6349982124618515,0.7949533679694407,3.7593233129106873,5.189274893341979
2200,1.426343572154,0.6362787406299415,0.7935272625430199,3.7595153060471596,5.18932130922012
2201,1.427205762355,0.6362599139477332,0.7918038215970801,3.755317223720705,5.183380959265517
2202,1.42817834404,0.6402064879871505,0.7846576234813852,3.7530502691097833,5.1779143805783185
2203,1.429183400987,0.6425104620318083,0.7800729525142929,3.7507671137322562,5.173350528278357
2204,1.43018786422,0.645074838599039,0.7762754619424643,3.7494610295669557,5.170811330108459
2205,1.431199926373,0.6448691523121889,0.777400571026386,3.7502837685974364,5.172553491936012
2206,1.432205963327,0.6425871616367208,0.7811178246686576,3.751306690033518,5.1750116763388965
2207,1.433215764708,0.6415414008582869,0.7831172131973401,3.751827039817978,5.176485653873605
2208,1.434224188051,0.6392444362225618,0.7869660089563824,3.7527144490716844,5.1789248942506285
2209,1.435234646709,0.6375326890405403,0.7891856565063547,3.7527245455050697,5.179442891051964
2210,1.436255177465,0.6362255691868429,0.7914360357737926,3.7528883174350964,5.180549922395731
2211,1.437266800792,0.6352292568080535,0.7927288835050584,3.7526015765555094,5.180559716868622
2212,1.438271127443,0.6341576352251882,0.7931743798027904,3.7500571459098206,5.1773891609378
2213,1.43927685923,0.6355119204906926,0.7900300154266376,3.7492235380273593,5.174765473944689
2214,1.440279005992,0.6334912683368394,0.7939059708400821,3.7485009861811562,5.175898225358077
2215,1.441280219784,0.6337527134488676,0.7916699478598517,3.7461027376331164,5.171525398941836
2216,1.442288824836,0.6333359017714778,0.7916711250477734,3.745105858761987,5.170112885581238
2217,1.443292626184,0.6331567014686643,0.7926943273449749,3.744955263150503,5.170806291964142
2218,1.444298021654,0.6322404815351476,0.7933922037143097,3.7433719269224204,5.169004612171877
2219,1.445259982094,0.6333200204097009,0.7903911264812499,3.7405780500086956,5.164289196899646
2220,1.446264979867,0.6349222384528361,0.7874688122836353,3.738340819160621,5.160731869897092
2221,1.447274590962,0.6356964965416848,0.7850929091662958,3.735706151931496,5.156495557639477
2222,1.448280951714,0.6355387852083596,0.7854826517919063,3.735915279148085,5.15693671614835
2223,1.449283903876,0.6360300724428596,0.7837537454543081,3.735092804523307,5.154876622420475
2224,1.4502858513,0.635089244374446,0.78500934354962,3.7340438007494687,5.1541423886735345
2225,1.45129533143,0.6333675884556478,0.7877837348130452,3.735344717974853,5.156496041243546
