,MPPC#,Gain@190K,Gain@190K_err,SPE_res@190K,SPE_res@190K_err,DCR@190K,DCR@190K_err,CTP@190K,CTP@190K_err
28,304,2970193.463361559,1458.2924501224861,4.250371268525813,0.049141885755980136,3.3355555555555556,0.043047490284023375,13.174550299800133,0.49833563855888424
29,305,3025857.706233508,1361.5047738398137,4.144276618032692,0.04503428715978673,4.093333333333333,0.0476872527419443,14.82084690553746,0.48058706204617985
30,306,3154931.855193329,1731.4956849472987,4.015018325741085,0.05492640844566594,1.84,0.03197221015541813,13.073671497584542,0.6680890704798035
31,307,2984035.3218580987,1709.8734889877537,4.738240904648691,0.057364999469154535,3.7577777777777777,0.045690855988782426,16.395623891188645,0.5311662842377771
32,308,2916610.140997052,1756.961017587773,4.849967294836162,0.060310638596867916,2.8594444444444447,0.03985699746485653,14.921313386438703,0.5772005445142638
33,309,3073836.9064473626,1630.6501060900036,4.094179981334448,0.05309378088385822,2.8583333333333334,0.044552819256515115,14.358600583090379,0.6316155164308046
34,309,3175747.6592565016,2129.4427768391192,4.4320501455385415,0.06711909668112985,2.934259259259259,0.052123955351991,14.042284632376145,0.7108708744248038
35,310,,,,,,,,
36,310,3136020.0052824165,2849.723965201387,4.48217924010833,0.0909619552316295,1.9055555555555554,0.03888888888888889,20.324864639733445,1.0092422934620142
37,311,2867717.0057438333,1921.4690561938007,4.754962359387896,0.06707914522462081,3.9515873015873013,0.056001610674025794,15.806386824663587,0.606333405162505
38,313,3105547.359757842,2487.5335631178004,4.460642252580578,0.08017933267428261,2.140740740740741,0.04452153807470855,13.451557093425606,0.812451781262907
39,314,3008441.184173249,2020.9219715798424,4.067538999023086,0.06723059929217531,3.6055555555555556,0.05777955837712109,15.844889573703133,0.6865703983633982
40,314,,,,,,,,
41,315,2948879.038475387,2147.9056807641286,4.6089442732763475,0.07291536236127566,2.23125,0.03936342422435664,14.036725801431684,0.7058296778931548
42,315,2943706.359691136,2078.898521441908,4.189257753860638,0.07068374573471639,2.4027777777777777,0.04716772454425936,15.105973025048169,0.8185676958287877
43,317,3013655.1766565074,2049.1168257165973,4.189371485238841,0.06805404526177539,2.5740740740740744,0.048820097505422475,14.712230215827338,0.7791511567098155
44,317,,,,,,,,
45,319,2967781.3011571974,1019.3416682174362,3.6038020881061796,0.034369223061156,7.280555555555556,0.07110514297872336,13.639832125143075,0.3845088128720927
46,319,3119989.8612138405,1642.7682278321179,4.1211614394975005,0.05269769383667792,3.7277777777777774,0.05875071140450113,13.661202185792352,0.621031596898925
47,320,3134888.2718305155,3056.302664475617,4.440287091851948,0.09758925620561729,3.273148148148148,0.055051727763684256,17.99151343705799,0.7749336604287665
48,320,,,,,,,,
49,321,3105717.5948292627,2697.4554496229957,4.382732308458498,0.08693787616514606,2.498148148148148,0.048094699678594637,19.38472942920682,0.9261541750454556
50,322,2882603.258475786,2841.5314024912527,5.170965111043779,0.09870688514886326,2.3583333333333334,0.04672945511461312,14.762465645857873,0.8155768927899886
51,322,2891057.2639436196,1517.4799836137283,3.9758987663064502,0.052530224488769275,2.563194444444444,0.04219000049745565,14.27797344892983,0.6648788643663165
52,323,3079519.198117446,2571.4639907531846,4.338100765363498,0.08358065859106045,2.746031746031746,0.04668394022175474,14.335260115606937,0.6882636471717445
