Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	1950.0	22.940	0.043592	2.5937	11.094	11.136	20.151	35.039	868.84	-0.089585	404.50	0.078620	supercritical
300.00	1960.0	22.957	0.043559	2.5880	11.126	11.095	20.163	35.031	870.39	-0.089638	405.91	0.078781	supercritical
300.00	1970.0	22.975	0.043526	2.5823	11.157	11.055	20.176	35.023	871.94	-0.089689	407.31	0.078942	supercritical
300.00	1980.0	22.992	0.043493	2.5767	11.188	11.014	20.188	35.015	873.48	-0.089740	408.72	0.079102	supercritical
300.00	1990.0	23.010	0.043460	2.5712	11.220	10.974	20.200	35.008	875.02	-0.089789	410.12	0.079262	supercritical
300.00	2000.0	23.027	0.043428	2.5656	11.251	10.934	20.212	35.000	876.56	-0.089838	411.52	0.079421	supercritical
300.00	2010.0	23.044	0.043396	2.5602	11.283	10.894	20.224	34.993	878.09	-0.089886	412.93	0.079580	supercritical
300.00	2020.0	23.061	0.043363	2.5547	11.314	10.854	20.236	34.985	879.61	-0.089933	414.33	0.079739	supercritical
300.00	2030.0	23.078	0.043331	2.5493	11.346	10.815	20.248	34.978	881.13	-0.089980	415.73	0.079897	supercritical
300.00	2040.0	23.095	0.043300	2.5439	11.377	10.775	20.259	34.971	882.65	-0.090026	417.14	0.080055	supercritical
300.00	2050.0	23.112	0.043268	2.5386	11.409	10.736	20.271	34.964	884.16	-0.090071	418.54	0.080213	supercritical
300.00	2060.0	23.128	0.043237	2.5333	11.440	10.697	20.283	34.957	885.67	-0.090115	419.94	0.080370	supercritical
300.00	2070.0	23.145	0.043206	2.5280	11.472	10.658	20.295	34.950	887.18	-0.090159	421.34	0.080527	supercritical
300.00	2080.0	23.162	0.043175	2.5227	11.503	10.619	20.307	34.944	888.67	-0.090201	422.75	0.080683	supercritical
300.00	2090.0	23.178	0.043144	2.5175	11.535	10.580	20.318	34.937	890.17	-0.090243	424.15	0.080839	supercritical
300.00	2100.0	23.195	0.043113	2.5124	11.566	10.541	20.330	34.930	891.66	-0.090285	425.55	0.080995	supercritical
300.00	2110.0	23.211	0.043083	2.5072	11.598	10.503	20.342	34.924	893.15	-0.090326	426.95	0.081150	supercritical
300.00	2120.0	23.228	0.043052	2.5021	11.629	10.465	20.353	34.918	894.63	-0.090366	428.36	0.081305	supercritical
300.00	2130.0	23.244	0.043022	2.4971	11.661	10.426	20.365	34.911	896.11	-0.090405	429.76	0.081460	supercritical
300.00	2140.0	23.260	0.042992	2.4920	11.692	10.388	20.376	34.905	897.58	-0.090444	431.16	0.081614	supercritical
300.00	2150.0	23.276	0.042962	2.4870	11.724	10.350	20.388	34.899	899.05	-0.090482	432.56	0.081768	supercritical
300.00	2160.0	23.292	0.042933	2.4821	11.755	10.312	20.399	34.893	900.52	-0.090519	433.96	0.081921	supercritical
300.00	2170.0	23.308	0.042903	2.4771	11.787	10.275	20.411	34.888	901.98	-0.090556	435.37	0.082074	supercritical
300.00	2180.0	23.324	0.042874	2.4722	11.819	10.237	20.422	34.882	903.44	-0.090592	436.77	0.082227	supercritical
300.00	2190.0	23.340	0.042844	2.4674	11.850	10.199	20.433	34.876	904.89	-0.090628	438.17	0.082379	supercritical
300.00	2200.0	23.356	0.042815	2.4625	11.882	10.162	20.445	34.870	906.34	-0.090662	439.57	0.082532	supercritical
300.00	2210.0	23.372	0.042786	2.4577	11.914	10.125	20.456	34.865	907.79	-0.090697	440.97	0.082683	supercritical
300.00	2220.0	23.388	0.042758	2.4529	11.945	10.088	20.467	34.860	909.23	-0.090731	442.37	0.082835	supercritical
300.00	2230.0	23.403	0.042729	2.4482	11.977	10.050	20.479	34.854	910.67	-0.090764	443.78	0.082986	supercritical
300.00	2240.0	23.419	0.042701	2.4435	12.008	10.014	20.490	34.849	912.11	-0.090796	445.18	0.083137	supercritical
300.00	2250.0	23.434	0.042672	2.4388	12.040	9.9768	20.501	34.844	913.54	-0.090828	446.58	0.083287	supercritical
300.00	2260.0	23.450	0.042644	2.4341	12.072	9.9401	20.512	34.839	914.97	-0.090860	447.98	0.083437	supercritical
300.00	2270.0	23.465	0.042616	2.4295	12.103	9.9035	20.523	34.834	916.39	-0.090891	449.38	0.083587	supercritical
300.00	2280.0	23.481	0.042588	2.4249	12.135	9.8670	20.534	34.829	917.81	-0.090921	450.78	0.083736	supercritical
300.00	2290.0	23.496	0.042560	2.4204	12.167	9.8307	20.546	34.824	919.23	-0.090951	452.18	0.083886	supercritical
300.00	2300.0	23.511	0.042533	2.4158	12.198	9.7944	20.557	34.819	920.64	-0.090980	453.59	0.084034	supercritical
300.00	2310.0	23.526	0.042505	2.4113	12.230	9.7583	20.568	34.814	922.05	-0.091009	454.99	0.084183	supercritical
300.00	2320.0	23.542	0.042478	2.4068	12.262	9.7223	20.579	34.810	923.45	-0.091038	456.39	0.084331	supercritical
300.00	2330.0	23.557	0.042451	2.4024	12.293	9.6864	20.590	34.805	924.86	-0.091065	457.79	0.084479	supercritical
300.00	2340.0	23.572	0.042424	2.3980	12.325	9.6506	20.601	34.801	926.25	-0.091093	459.19	0.084627	supercritical
300.00	2350.0	23.587	0.042397	2.3936	12.357	9.6149	20.611	34.796	927.65	-0.091120	460.59	0.084774	supercritical
300.00	2360.0	23.602	0.042370	2.3892	12.389	9.5793	20.622	34.792	929.04	-0.091146	461.99	0.084921	supercritical
300.00	2370.0	23.616	0.042343	2.3849	12.420	9.5439	20.633	34.787	930.43	-0.091172	463.39	0.085067	supercritical
300.00	2380.0	23.631	0.042317	2.3806	12.452	9.5085	20.644	34.783	931.81	-0.091197	464.80	0.085214	supercritical
300.00	2390.0	23.646	0.042290	2.3763	12.484	9.4732	20.655	34.779	933.19	-0.091222	466.20	0.085360	supercritical
300.00	2400.0	23.661	0.042264	2.3720	12.515	9.4381	20.666	34.775	934.57	-0.091247	467.60	0.085505	supercritical
300.00	2410.0	23.675	0.042238	2.3678	12.547	9.4030	20.676	34.771	935.95	-0.091271	469.00	0.085651	supercritical
300.00	2420.0	23.690	0.042212	2.3636	12.579	9.3680	20.687	34.767	937.32	-0.091294	470.40	0.085796	supercritical
300.00	2430.0	23.704	0.042186	2.3594	12.611	9.3332	20.698	34.763	938.69	-0.091317	471.80	0.085941	supercritical
300.00	2440.0	23.719	0.042160	2.3553	12.642	9.2984	20.708	34.759	940.05	-0.091340	473.20	0.086085	supercritical
300.00	2450.0	23.733	0.042135	2.3511	12.674	9.2638	20.719	34.755	941.41	-0.091362	474.61	0.086230	supercritical
300.00	2460.0	23.748	0.042109	2.3470	12.706	9.2292	20.730	34.752	942.77	-0.091384	476.01	0.086374	supercritical
300.00	2470.0	23.762	0.042084	2.3430	12.738	9.1948	20.740	34.748	944.13	-0.091406	477.41	0.086517	supercritical
300.00	2480.0	23.776	0.042058	2.3389	12.769	9.1604	20.751	34.744	945.48	-0.091427	478.81	0.086661	supercritical
300.00	2490.0	23.791	0.042033	2.3349	12.801	9.1261	20.761	34.741	946.83	-0.091447	480.21	0.086804	supercritical
300.00	2500.0	23.805	0.042008	2.3309	12.833	9.0920	20.772	34.737	948.17	-0.091468	481.61	0.086947	supercritical
300.00	2510.0	23.819	0.041983	2.3269	12.865	9.0579	20.782	34.734	949.51	-0.091487	483.01	0.087089	supercritical
300.00	2520.0	23.833	0.041958	2.3230	12.897	9.0239	20.793	34.731	950.85	-0.091507	484.42	0.087232	supercritical
300.00	2530.0	23.847	0.041934	2.3191	12.928	8.9901	20.803	34.727	952.19	-0.091526	485.82	0.087374	supercritical
300.00	2540.0	23.861	0.041909	2.3152	12.960	8.9563	20.814	34.724	953.52	-0.091545	487.22	0.087515	supercritical
300.00	2550.0	23.875	0.041885	2.3113	12.992	8.9226	20.824	34.721	954.85	-0.091563	488.62	0.087657	supercritical
300.00	2560.0	23.889	0.041860	2.3074	13.024	8.8890	20.834	34.718	956.18	-0.091581	490.02	0.087798	supercritical
300.00	2570.0	23.903	0.041836	2.3036	13.055	8.8555	20.845	34.715	957.50	-0.091598	491.43	0.087939	supercritical
300.00	2580.0	23.917	0.041812	2.2998	13.087	8.8221	20.855	34.712	958.82	-0.091616	492.83	0.088080	supercritical
300.00	2590.0	23.930	0.041788	2.2960	13.119	8.7887	20.865	34.709	960.14	-0.091632	494.23	0.088220	supercritical
300.00	2600.0	23.944	0.041764	2.2923	13.151	8.7555	20.875	34.706	961.46	-0.091649	495.63	0.088360	supercritical
300.00	2610.0	23.958	0.041740	2.2885	13.183	8.7224	20.886	34.703	962.77	-0.091665	497.04	0.088500	supercritical
