Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	160.00	15.223	0.065688	5.7852	6.8362	26.372	17.264	58.432	348.86	0.069411	114.11	0.032659	supercritical
300.00	161.67	15.258	0.065537	5.7700	6.8295	26.314	17.258	58.102	350.61	0.067535	114.69	0.032773	supercritical
300.00	163.33	15.293	0.065390	5.7551	6.8231	26.256	17.253	57.782	352.34	0.065705	115.25	0.032886	supercritical
300.00	165.00	15.327	0.065245	5.7403	6.8169	26.199	17.249	57.472	354.05	0.063919	115.81	0.032998	supercritical
300.00	166.67	15.360	0.065102	5.7258	6.8108	26.142	17.244	57.170	355.73	0.062175	116.37	0.033109	supercritical
300.00	168.33	15.393	0.064963	5.7115	6.8050	26.087	17.240	56.877	357.40	0.060471	116.92	0.033219	supercritical
300.00	170.00	15.426	0.064826	5.6973	6.7994	26.032	17.237	56.592	359.04	0.058807	117.46	0.033328	supercritical
300.00	171.67	15.458	0.064691	5.6834	6.7939	25.978	17.233	56.315	360.67	0.057180	118.00	0.033436	supercritical
300.00	173.33	15.490	0.064559	5.6696	6.7886	25.924	17.230	56.045	362.28	0.055589	118.54	0.033543	supercritical
300.00	175.00	15.521	0.064429	5.6560	6.7835	25.871	17.228	55.783	363.87	0.054033	119.07	0.033649	supercritical
300.00	176.67	15.552	0.064301	5.6426	6.7786	25.819	17.225	55.527	365.44	0.052510	119.60	0.033755	supercritical
300.00	178.33	15.582	0.064175	5.6293	6.7738	25.768	17.223	55.278	367.00	0.051020	120.12	0.033860	supercritical
300.00	180.00	15.612	0.064052	5.6163	6.7692	25.717	17.221	55.035	368.54	0.049561	120.64	0.033963	supercritical
300.00	181.67	15.642	0.063930	5.6033	6.7647	25.666	17.219	54.798	370.06	0.048132	121.15	0.034067	supercritical
300.00	183.33	15.671	0.063810	5.5905	6.7604	25.616	17.217	54.566	371.57	0.046733	121.66	0.034169	supercritical
